City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
390,Marzuq,YE,74.3,clear sky,14.4,46.4667,
396,Bandarbeyla,SO,78.24,scattered clouds,9.4942,50.8122,JABIR HOTEL
397,Axim,GH,78.35,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
406,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
408,Sola,VU,77.85,overcast clouds,-13.8833,167.55,Leumerus Bungalows
411,Fowa,NG,73.49,clear sky,8.9167,6.4,
413,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
416,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
419,Nobres,BR,74.05,broken clouds,-14.7203,-56.3275,Hotel Portal Nobres
420,San Juan,AR,82.45,clear sky,-31.5375,-68.5364,Hotel Provincial
426,Rio Grande,BR,75.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
427,Kitgum,UG,74.03,scattered clouds,3.2783,32.8867,Jaflo Gardens Hotel
429,Betma,IN,80.71,clear sky,22.6833,75.6167,Khandelwal Paradise
430,Vanimo,PG,77.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
433,Gladstone,AU,82.17,scattered clouds,-23.85,151.25,Highpoint International Hotel
440,Ariquemes,BR,73.31,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
443,Kavaratti,IN,81.54,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
444,Saint-Joseph,RE,78.67,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
445,Lorengau,PG,77.65,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
448,Sambava,MG,78.48,overcast clouds,-14.2667,50.1667,Melrose
449,Kiunga,PG,82.13,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
450,Basco,PH,73.69,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
453,Simi,SL,76.24,broken clouds,9.5667,-12.35,
456,Faanui,PF,82.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
462,Clarence Town,AU,75.6,moderate rain,-32.5833,151.7833,River Downs Cottage
463,Numaligarh,IN,75.38,few clouds,26.6333,93.75,Mumai Hotel
465,Sigli,ID,80.76,moderate rain,5.3848,95.9609,Losmen Dua Mali
468,Dwarka,IN,78.8,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
486,Yenagoa,NG,78.44,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
488,Coruripe,BR,78.46,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
490,Cap Malheureux,MU,80.11,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
494,Dumai,ID,83.41,overcast clouds,1.6833,101.45,Grand Zuri Dumai
496,Tokonou,GN,77.65,overcast clouds,9.65,-9.7833,
502,Daoukro,CI,73.13,few clouds,7.0591,-3.9631,Komenan brou roseline
503,Poum,NC,80.26,overcast clouds,-20.2333,164.0167,
510,Dubti,ET,81.03,clear sky,11.7361,41.0853,degu Shiferaw
515,Ko Samui,TH,82.96,overcast clouds,9.5357,99.9357,The Passage
