City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
538,Dwarka,22.2394,68.9678,70.77,73,0,8.14,IN,2022-02-25 02:06:16
539,Adrar,20.5022,-10.0711,78.13,5,100,7.58,MR,2022-02-25 02:06:17
540,Cotonou,6.3654,2.4183,79.43,86,10,8.28,BJ,2022-02-25 02:06:17
541,Anchorage,61.2181,-149.9003,43.68,85,100,10.36,US,2022-02-25 02:05:57
542,Greytown,-29.0642,30.5928,54.72,97,14,1.77,ZA,2022-02-25 02:06:18
543,Praia Da Vitoria,38.7333,-27.0667,56.75,84,86,11.03,PT,2022-02-25 02:06:18
544,Miles City,46.4083,-105.8406,7.52,66,0,4.61,US,2022-02-25 02:06:18
545,Dalvik,65.9702,-18.5286,14.41,89,63,10.63,IS,2022-02-25 02:06:19
546,Mahibadhoo,3.7833,72.9667,82.63,73,8,13.73,MV,2022-02-25 02:06:19
547,Taywarah,33.35,64.4167,14.32,89,24,6.22,AF,2022-02-25 02:06:19
548,Mitsamiouli,-11.3847,43.2844,81.52,80,100,6.2,KM,2022-02-25 02:06:20
549,Itaituba,-4.2761,-55.9836,74.75,98,98,1.52,BR,2022-02-25 02:06:20
550,Charlottesville,38.0293,-78.4767,36.84,92,100,5.99,US,2022-02-25 02:03:24
551,Ust-Omchug,61.15,149.6333,-0.31,89,100,9.55,RU,2022-02-25 02:06:21
552,Comodoro Rivadavia,-45.8667,-67.5,62.46,77,0,1.14,AR,2022-02-25 02:07:21
553,Invermere,50.5167,-116.0354,14.41,71,87,2.01,CA,2022-02-25 02:07:21
