City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Meridian,US,43.6121,-116.3915,25.21,62,38,11.54,scattered clouds
150,Udachnyy,RU,66.4167,112.4,1.4,76,100,4.99,overcast clouds
151,Nabire,ID,-3.3667,135.4833,79.05,83,95,2.26,overcast clouds
152,Suez,EG,29.9737,32.5263,53.08,77,30,7.74,scattered clouds
153,Haukipudas,FI,65.1765,25.3523,28.67,86,100,19.69,overcast clouds
154,Pontianak,ID,-0.0333,109.3333,92.89,46,92,2.08,overcast clouds
155,Aspindza,GE,41.5739,43.2483,27.9,90,96,3.67,overcast clouds
156,Honiara,SB,-9.4333,159.95,84.09,74,96,7.65,moderate rain
157,Lompoc,US,34.6391,-120.4579,52.2,81,0,3.44,clear sky
158,Ponferrada,ES,42.5466,-6.5962,42.96,90,71,1.95,broken clouds
159,Miraflores,MX,19.2167,-98.8083,63.86,50,70,2.55,broken clouds
160,Kokopo,PG,-4.352,152.2633,84.27,71,100,7.54,light rain
161,Reconquista,AR,-29.15,-59.65,82.6,63,12,7.99,few clouds
162,Durant,US,33.994,-96.3708,36.88,82,100,6.55,overcast clouds
163,Namibe,AO,-15.1961,12.1522,74.52,80,78,6.62,broken clouds
164,Port Blair,IN,11.6667,92.75,85.21,58,46,14.88,scattered clouds
165,Cockburn Town,TC,21.4612,-71.1419,76.96,70,1,16.62,clear sky
166,Nalut,LY,30.3333,10.85,53.69,27,17,1.7,few clouds
167,Pisco,PE,-13.7,-76.2167,71.01,84,100,1.86,overcast clouds
168,Tahoua,NE,14.8888,5.2692,63.63,13,0,11.83,clear sky
169,Port Hardy,CA,50.6996,-127.4199,39.81,90,100,20.67,moderate rain
170,Imbituba,BR,-28.24,-48.6703,74.14,93,16,9.51,few clouds
171,Bethel,US,41.3712,-73.414,23.29,71,10,3.74,clear sky
172,Grindavik,IS,63.8424,-22.4338,33.31,71,88,13.65,light snow
173,Aligudarz,IR,33.4006,49.6949,38.14,75,15,3.58,few clouds
174,Manturovo,RU,58.3353,44.7619,23.61,94,97,5.61,overcast clouds
175,Luneville,FR,48.6,6.5,31.66,78,2,11.86,clear sky
176,Kidal,ML,18.4411,1.4078,70.68,11,48,11.41,scattered clouds
177,Yining,CN,29.0361,114.5636,65.53,49,3,3.29,clear sky
178,Bubaque,GW,11.2833,-15.8333,74.61,59,31,17.9,scattered clouds
179,Kedrovyy,RU,56.1667,91.8167,18.9,91,100,13.62,light snow
180,Eden,US,36.4885,-79.7667,42.94,100,0,0.0,mist
181,Port-Gentil,GA,-0.7193,8.7815,82.18,80,50,10.69,scattered clouds
182,Tomari,RU,47.7658,142.0683,24.37,59,65,16.37,broken clouds
183,Biak,ID,-0.9131,122.8766,85.78,58,97,0.81,overcast clouds
184,Tiznit,MA,29.5833,-9.5,52.05,86,0,0.96,clear sky
185,Samarai,PG,-10.6167,150.6667,86.54,65,93,8.61,overcast clouds
186,Yulara,AU,-25.2406,130.9889,100.24,17,0,14.97,clear sky
187,Talnakh,RU,69.4865,88.3972,15.21,94,100,13.49,light snow
188,Sosnovo-Ozerskoye,RU,52.5249,111.5418,21.0,70,100,16.78,overcast clouds
189,Provideniya,RU,64.3833,-173.3,30.88,97,100,32.91,snow
190,Sao Miguel,BR,-5.4667,-35.3667,78.75,77,68,12.71,broken clouds
191,Faya,SA,18.3851,42.4509,60.4,49,99,2.55,overcast clouds
192,Marathon,US,44.9,-89.7668,21.52,89,20,15.17,few clouds
